player1,player2,player3,player4,player5,2FGA,2FGM,3FGA,3FGM,AG,AS,CM,CMU,D,FTA,FTM,FV,O,OF,RV,ST,TEAM,TO,seconds
"HIGGINS, CORY","HINES, KYLE","KURBANOV, NIKITA","RODRIGUEZ, SERGIO","VORONTSEVICH, ANDREY",8,9,4,5,4,10,10,0,8,1,4,1,7,1,7,2,CSK,5,344.0
"HIGGINS, CORY","HUNTER, OTHELLO","KURBANOV, NIKITA","RODRIGUEZ, SERGIO","VORONTSEVICH, ANDREY",7,6,4,3,1,6,7,0,7,4,7,2,4,1,9,1,CSK,3,325.0
"HONEYCUTT, TYLER","MARKOVIC, STEFAN","MONIA, SERGEY","SHVED, ALEXEY","THOMAS, MALCOLM",2,7,6,7,1,11,7,2,6,1,7,1,3,0,8,6,KHI,4,377.0
"HONEYCUTT, TYLER","MARKOVIC, STEFAN","MONIA, SERGEY","SHVED, ALEXEY","TODOROVIC, MARKO",1,5,12,6,0,8,7,0,9,0,6,1,3,0,8,1,KHI,7,553.0
"HONEYCUTT, TYLER","MARKOVIC, STEFAN","MONIA, SERGEY","TODOROVIC, MARKO","VIALTSEV, EGOR",4,1,4,5,1,6,4,0,2,0,3,0,3,0,9,2,KHI,5,412.0
"HUERTAS, MARCELINHO","JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS",16,25,9,5,3,26,15,0,28,1,10,4,5,0,20,0,BAS,15,1103.0
"HUERTAS, MARCELINHO","JANNING, MATT","SHENGELIA, TORNIKE","TIMMA, JANIS","VOIGTMANN, JOHANNES",12,11,9,6,1,12,15,0,15,0,4,2,2,0,11,2,BAS,5,839.0
"JACKSON, PIERRE","KANE, DEANDRE","PARAKHOUSKI, ARTSIOM","ROLL, MICHAEL","THOMAS, DESHAUN",19,19,12,8,2,19,19,0,23,5,14,6,12,0,20,5,TEL,10,977.0
"JACKSON, PIERRE","KANE, DEANDRE","ROLL, MICHAEL","THOMAS, DESHAUN","TYUS, ALEX",21,20,11,4,2,11,8,1,23,5,10,5,11,0,13,3,TEL,8,1009.0
"JANKUNAS, PAULIUS","KAVALIAUSKAS, ANTANAS","MICIC, VASILIJE","MILAKNIS, ARTURAS","PANGOS, KEVIN",5,4,8,4,0,6,6,0,6,0,8,0,6,1,10,4,ZAL,7,474.0
"JANKUNAS, PAULIUS","KAVALIAUSKAS, ANTANAS","PANGOS, KEVIN","TOUPANE, AXEL","ULANOVAS, EDGARAS",7,13,2,3,1,4,8,0,11,1,1,0,3,1,6,2,ZAL,4,544.0
"JANKUNAS, PAULIUS","MICIC, VASILIJE","MILAKNIS, ARTURAS","PANGOS, KEVIN","ULANOVAS, EDGARAS",10,5,3,4,2,9,8,0,5,6,13,1,3,2,12,0,ZAL,7,449.0
"JANKUNAS, PAULIUS","MICIC, VASILIJE","MILAKNIS, ARTURAS","PANGOS, KEVIN","WHITE, AARON",10,15,7,9,3,17,12,0,9,3,5,1,5,3,16,6,ZAL,5,771.0
"JANKUNAS, PAULIUS","MICIC, VASILIJE","MILAKNIS, ARTURAS","ULANOVAS, EDGARAS","WHITE, AARON",7,8,3,4,1,11,4,0,9,2,4,1,2,0,9,4,ZAL,5,498.0
"JANKUNAS, PAULIUS","MICIC, VASILIJE","MILAKNIS, ARTURAS","VALINSKAS, PAULIUS","WHITE, AARON",4,8,0,3,1,7,11,0,5,2,2,0,2,0,5,4,ZAL,2,370.0
"JANKUNAS, PAULIUS","MICIC, VASILIJE","PANGOS, KEVIN","ULANOVAS, EDGARAS","WHITE, AARON",18,24,4,1,3,18,22,1,16,6,12,2,11,2,16,4,ZAL,11,1046.0
"JANKUNAS, PAULIUS","MILAKNIS, ARTURAS","PANGOS, KEVIN","TOUPANE, AXEL","WHITE, AARON",16,14,5,3,4,13,12,0,15,2,7,1,11,0,11,1,ZAL,6,722.0
"JANKUNAS, PAULIUS","MILAKNIS, ARTURAS","PANGOS, KEVIN","ULANOVAS, EDGARAS","WHITE, AARON",20,28,6,9,5,25,13,0,30,2,16,5,10,3,25,7,ZAL,11,1108.0
"JANKUNAS, PAULIUS","PANGOS, KEVIN","TOUPANE, AXEL","ULANOVAS, EDGARAS","WHITE, AARON",3,10,11,6,2,12,7,1,14,3,15,0,7,2,18,0,ZAL,6,626.0
"JANNING, MATT","POIRIER, VINCENT","SHENGELIA, TORNIKE","TIMMA, JANIS","VILDOZA, LUCA",3,11,3,3,0,11,5,1,9,2,3,0,3,1,6,3,BAS,2,348.0
"JANNING, MATT","SHENGELIA, TORNIKE","TIMMA, JANIS","VILDOZA, LUCA","VOIGTMANN, JOHANNES",6,12,9,3,1,10,10,0,13,4,10,0,8,0,18,3,BAS,11,723.0
"JEFFERSON, CORY","JERRELLS, CURTIS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN",7,11,8,2,0,6,10,0,15,2,9,3,7,1,9,0,MIL,7,587.0
"JEFFERSON, CORY","KALNIETIS, MANTAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN",8,12,4,1,0,8,8,0,12,2,11,2,3,2,13,3,MIL,6,512.0
"JENKINS, CHARLES","MARKOVIC, STEFAN","MONIA, SERGEY","ROBINSON, THOMAS","SHVED, ALEXEY",5,9,7,5,0,8,10,0,8,3,12,1,7,2,14,3,KHI,5,438.0
"JENKINS, CHARLES","MARKOVIC, STEFAN","SHVED, ALEXEY","THOMAS, MALCOLM","ZUBKOV, ANDREY",5,8,5,2,0,7,5,0,6,0,1,2,1,0,7,3,KHI,3,329.0
"JERRELLS, CURTIS","KUZMINSKAS, MINDAUGAS","MICOV, VLADIMIR","TARCZEWSKI, KALEB","THEODORE, JORDAN",5,8,1,3,0,5,5,0,8,2,2,0,1,0,6,2,MIL,5,421.0
"KALINIC, NIKOLA","MELLI, NICOLO","SLOUKAS, KOSTAS","VESELY, JAN","WANAMAKER, BRAD",4,7,1,1,0,5,6,0,3,2,7,0,2,0,9,3,ULK,3,353.0
"KALINIC, NIKOLA","NUNNALLY, JAMES","THOMPSON, JASON","VESELY, JAN","WANAMAKER, BRAD",11,14,8,5,2,13,14,0,11,4,10,2,11,3,16,8,ULK,11,702.0
"KAVALIAUSKAS, ANTANAS","MICIC, VASILIJE","MILAKNIS, ARTURAS","PANGOS, KEVIN","ULANOVAS, EDGARAS",6,6,4,2,2,6,9,0,12,4,3,1,2,0,9,2,ZAL,8,454.0
"KAVALIAUSKAS, ANTANAS","MICIC, VASILIJE","MILAKNIS, ARTURAS","PANGOS, KEVIN","WHITE, AARON",15,19,8,7,4,21,11,0,17,3,15,0,10,0,18,4,ZAL,12,847.0
"KAVALIAUSKAS, ANTANAS","MICIC, VASILIJE","MILAKNIS, ARTURAS","UDRIH, BENO","WHITE, AARON",4,7,4,0,1,6,5,0,4,0,0,0,1,1,4,1,ZAL,7,396.0
"KAVALIAUSKAS, ANTANAS","MICIC, VASILIJE","MILAKNIS, ARTURAS","ULANOVAS, EDGARAS","WHITE, AARON",14,11,6,3,1,7,12,1,20,5,11,2,8,3,16,2,ZAL,12,733.0
"KAVALIAUSKAS, ANTANAS","MICIC, VASILIJE","MILAKNIS, ARTURAS","VALINSKAS, PAULIUS","WHITE, AARON",4,13,2,4,0,12,7,0,7,0,3,0,2,0,7,3,ZAL,2,457.0
"KAVALIAUSKAS, ANTANAS","MICIC, VASILIJE","PANGOS, KEVIN","ULANOVAS, EDGARAS","WHITE, AARON",8,11,2,3,2,12,14,0,10,4,8,1,3,1,14,3,ZAL,12,661.0
"KAVALIAUSKAS, ANTANAS","MILAKNIS, ARTURAS","PANGOS, KEVIN","TOUPANE, AXEL","WHITE, AARON",6,5,3,2,2,6,9,0,9,4,8,0,5,0,9,0,ZAL,2,366.0
"KAVALIAUSKAS, ANTANAS","MILAKNIS, ARTURAS","PANGOS, KEVIN","ULANOVAS, EDGARAS","WHITE, AARON",5,10,2,3,0,8,8,0,13,0,5,0,2,0,13,1,ZAL,2,345.0
"KAVALIAUSKAS, ANTANAS","PANGOS, KEVIN","TOUPANE, AXEL","ULANOVAS, EDGARAS","WHITE, AARON",8,14,7,6,1,12,11,0,9,2,5,1,7,0,15,2,ZAL,6,717.0
"KOPONEN, PETTERI","ORIOLA, PIERRE","PRESSEY, PHIL","RIBAS, PAU","TOMIC, ANTE",7,7,7,3,0,6,11,0,9,1,2,0,2,0,5,2,BAR,2,432.0
"LEKAVICIUS, LUKAS","PAPPAS, NIKOS","RIVERS, KC","SINGLETON, CHRIS","VOUGIOUKAS, IAN",4,3,1,3,0,1,8,0,8,2,6,0,3,0,8,1,PAN,9,389.0
"LO, MAODO","MITROVIC, LUKA","MUSLI, DEJAN","WRIGHT, DORELL","ZISIS, NIKOS",3,4,4,1,1,1,7,0,5,0,2,0,2,0,3,2,BAM,7,308.0
"LO, MAODO","MUSLI, DEJAN","STAIGER, LUCCA","WRIGHT, DORELL","ZISIS, NIKOS",3,5,1,4,1,11,4,0,4,2,5,1,2,0,4,3,BAM,3,363.0
"LO, MAODO","STAIGER, LUCCA","WRIGHT, DORELL","WRIGHT, DORELL","ZISIS, NIKOS",1,2,4,5,2,6,7,0,7,1,2,0,2,2,5,1,BAM,6,315.0
"MANTZARIS, VANGELIS","MCLEAN, JAMEL","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS",5,9,4,0,1,10,5,1,4,3,16,2,4,0,11,1,OLY,3,324.0
"MANTZARIS, VANGELIS","MCLEAN, JAMEL","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS",4,8,3,4,0,5,6,0,5,0,4,1,2,1,5,3,OLY,3,450.0
"MANTZARIS, VANGELIS","MCLEAN, JAMEL","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS",6,4,4,7,1,11,8,0,9,3,7,1,5,0,11,4,OLY,2,486.0
"MANTZARIS, VANGELIS","MCLEAN, JAMEL","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS",9,4,6,1,2,5,6,0,1,1,2,0,5,1,7,5,OLY,1,344.0
"MANTZARIS, VANGELIS","MCLEAN, JAMEL","STRELNIEKS, JANIS","THOMPSON, HOLLIS","WILTJER, KYLE",4,7,8,3,0,4,7,0,11,2,14,1,8,1,14,1,OLY,10,498.0
"MANTZARIS, VANGELIS","MILUTINOV, NIKOLA","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS",33,48,24,13,9,40,29,2,54,3,30,3,14,2,45,14,OLY,19,2203.0
"MANTZARIS, VANGELIS","MILUTINOV, NIKOLA","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS",10,12,10,8,2,17,6,0,13,2,10,3,9,1,13,7,OLY,11,864.0
"MANTZARIS, VANGELIS","MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS",10,18,16,2,3,12,11,0,19,4,11,2,10,1,10,3,OLY,5,738.0
"MANTZARIS, VANGELIS","MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS",7,18,6,1,0,8,7,0,13,3,5,1,2,0,14,2,OLY,5,623.0
"MANTZARIS, VANGELIS","MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","SPANOULIS, VASSILIS","TILLIE, KIM",9,11,10,7,2,11,3,0,16,1,4,1,9,1,10,1,OLY,3,559.0
"MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","SPANOULIS, VASSILIS",7,9,2,3,1,9,8,0,11,2,5,0,2,0,10,3,OLY,3,340.0
"MANTZARIS, VANGELIS","PAPANIKOLAOU, KOSTAS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","STRELNIEKS, JANIS",3,7,4,2,0,5,5,0,8,3,5,1,3,0,5,0,OLY,2,316.0
"MARKOVIC, STEFAN","SHVED, ALEXEY","THOMAS, MALCOLM","VIALTSEV, EGOR","ZUBKOV, ANDREY",6,4,6,3,1,3,7,0,6,0,3,0,3,2,5,3,KHI,6,415.0
"MCCALLUM, RAY","MILOSAVLJEVIC, DRAGAN","NEDOVIC, NEMANJA","SHERMADINI, GIORGI","SUAREZ, CARLOS",11,9,6,1,2,5,5,0,5,3,5,0,5,0,15,2,MAL,6,484.0
"MCCALLUM, RAY","NEDOVIC, NEMANJA","SHERMADINI, GIORGI","SUAREZ, CARLOS","WACZYNSKI, ADAM",8,7,7,4,2,9,3,0,13,1,6,3,3,0,9,2,MAL,5,449.0
"MCCALLUM, RAY","SALIN, SASU","SHERMADINI, GIORGI","SUAREZ, CARLOS","WACZYNSKI, ADAM",11,11,7,2,2,8,5,0,12,1,2,1,7,1,10,3,MAL,7,530.0
"MCLEAN, JAMEL","PAPANIKOLAOU, KOSTAS","PAPAPETROU, IOANNIS","SPANOULIS, VASSILIS","STRELNIEKS, JANIS",0,9,8,1,0,8,4,0,8,1,9,1,2,1,8,1,OLY,4,368.0
"MCLEAN, JAMEL","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","STRELNIEKS, JANIS",8,7,4,2,1,7,5,0,16,6,9,0,3,1,11,5,OLY,6,467.0
"MCLEAN, JAMEL","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS",11,9,9,1,1,6,7,0,10,7,16,0,8,1,13,0,OLY,6,569.0
"MCLEAN, JAMEL","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","THOMPSON, HOLLIS",4,5,6,3,2,4,8,0,8,0,4,1,4,0,8,0,OLY,5,403.0
"MCLEAN, JAMEL","ROBERTS, BRIAN","STRELNIEKS, JANIS","THOMPSON, HOLLIS","WILTJER, KYLE",4,4,3,6,2,5,10,0,8,1,4,0,1,2,9,0,OLY,4,378.0
"MELLI, NICOLO","NUNNALLY, JAMES","SLOUKAS, KOSTAS","THOMPSON, JASON","WANAMAKER, BRAD",13,12,4,4,2,10,10,0,13,2,8,0,6,1,11,9,ULK,4,678.0
"MELLI, NICOLO","NUNNALLY, JAMES","SLOUKAS, KOSTAS","VESELY, JAN","WANAMAKER, BRAD",12,14,8,4,2,9,9,0,11,2,5,2,3,0,7,7,ULK,10,876.0
"MILUTINOV, NIKOLA","PAPANIKOLAOU, KOSTAS","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN",11,14,3,1,1,8,6,0,16,0,4,2,1,3,12,2,OLY,7,542.0
"MILUTINOV, NIKOLA","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS",15,14,16,8,4,16,17,0,19,4,16,1,13,0,20,7,OLY,6,1061.0
"MILUTINOV, NIKOLA","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","STRELNIEKS, JANIS",12,16,6,3,2,11,12,0,17,0,8,0,9,1,14,4,OLY,10,739.0
"MILUTINOV, NIKOLA","PAPANIKOLAOU, KOSTAS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","THOMPSON, HOLLIS",23,25,14,4,3,16,8,1,34,1,5,1,9,1,18,8,OLY,14,1174.0
"MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","SPANOULIS, VASSILIS",18,19,5,2,0,15,12,0,14,2,13,2,10,0,12,4,OLY,7,864.0
"MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","THOMPSON, HOLLIS",7,9,3,3,0,9,6,0,10,1,4,1,4,1,6,1,OLY,3,425.0
"MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","THOMPSON, HOLLIS",3,8,3,4,1,5,5,0,7,2,5,1,1,0,9,2,OLY,5,390.0
"MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","SPANOULIS, VASSILIS","TILLIE, KIM",2,13,4,2,0,6,8,0,10,0,2,0,3,1,2,0,OLY,9,538.0
"MILUTINOV, NIKOLA","PAPAPETROU, IOANNIS","ROBERTS, BRIAN","STRELNIEKS, JANIS","THOMPSON, HOLLIS",5,5,3,3,0,7,7,0,11,1,6,2,1,2,6,0,OLY,5,390.0
"MILUTINOV, NIKOLA","PRINTEZIS, GEORGIOS","ROBERTS, BRIAN","STRELNIEKS, JANIS","THOMPSON, HOLLIS",5,3,3,2,1,3,6,0,8,2,7,0,0,0,9,2,OLY,4,433.0
