player1,player2,player3,player4,player5,2FGA,2FGM,3FGA,3FGM,AG,AS,CM,CMU,D,FTA,FTM,FV,O,OF,RV,ST,TEAM,TO,seconds
"DOORNEKAMP, AARON","GREEN, ERICK","PLEISS, TIBOR","THOMAS, WILL","VIVES, GUILLEM",9,9,4,7,0,14,4,0,7,0,5,1,7,1,9,2,PAM,3,525.0
"DOORNEKAMP, AARON","MARTINEZ, RAFA","PLEISS, TIBOR","THOMAS, WILL","VAN ROSSOM, SAM",8,14,12,4,3,14,11,0,13,0,3,1,7,0,15,2,PAM,2,764.0
"DOUGLAS, TONEY","DUNSTON, BRYANT","MCCOLLUM, ERRICK","MOTUM, BROCK","MUSTAFA, MUHAYMIN",4,6,3,2,0,4,6,0,2,0,0,2,4,0,3,1,IST,2,347.0
"DOUGLAS, TONEY","DUNSTON, BRYANT","MCCOLLUM, ERRICK","MOTUM, BROCK","WEEMS, SONNY",5,5,7,2,0,5,6,0,7,4,6,1,4,2,8,1,IST,6,412.0
"DRAGIC, ZORAN","DUNSTON, BRYANT","MCCOLLUM, ERRICK","MOTUM, BROCK","SIMON, KRUNOSLAV",15,20,13,11,1,20,16,1,24,6,16,7,6,1,21,5,IST,9,1204.0
"DRAGIC, ZORAN","MCCOLLUM, ERRICK","MOTUM, BROCK","SIMON, KRUNOSLAV","STIMAC, VLADIMIR",7,6,7,3,0,3,8,0,10,2,5,0,3,1,8,2,IST,4,491.0
"DUBLJEVIC, BOJAN","GREEN, ERICK","SAN EMETERIO, FERNANDO","SASTRE, JOAN","THOMAS, WILL",5,1,3,3,0,3,6,0,3,0,4,0,2,0,4,0,PAM,1,347.0
"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VAN ROSSOM, SAM",3,3,5,2,2,3,4,0,7,3,5,2,4,2,7,2,PAM,5,412.0
"DUBLJEVIC, BOJAN","GREEN, ERICK","SASTRE, JOAN","THOMAS, WILL","VIVES, GUILLEM",7,5,2,1,0,2,5,0,6,1,8,0,2,0,6,4,PAM,1,319.0
"DUBLJEVIC, BOJAN","MARTINEZ, RAFA","SASTRE, JOAN","THOMAS, WILL","VAN ROSSOM, SAM",3,12,9,1,1,9,7,1,11,1,2,0,2,1,10,4,PAM,6,446.0
"DUNSTON, BRYANT","LEDO, RICKY","MCCOLLUM, ERRICK","MOTUM, BROCK","MURIC, EDO",7,12,4,1,3,6,6,0,13,0,8,5,4,0,6,0,IST,1,324.0
"DUNSTON, BRYANT","LEDO, RICKY","MCCOLLUM, ERRICK","MOTUM, BROCK","SIMON, KRUNOSLAV",6,4,5,2,0,4,8,0,4,2,4,0,4,1,4,1,IST,3,312.0
"DUNSTON, BRYANT","LEDO, RICKY","MCCOLLUM, ERRICK","SIMON, KRUNOSLAV","STIMAC, VLADIMIR",14,13,9,4,2,11,9,0,14,5,14,2,8,0,19,4,IST,5,614.0
